epoch, learning rate, training loss, training error, test loss, test error

1, 0.1, 4.7611212730407715, 0.873046875, 2.441676616668701, 0.9200000017881393
2, 0.1, 4.623776435852051, 0.80078125, 2.330601215362549, 0.9499999992549419
3, 0.1, 4.533172845840454, 0.791015625, 2.2493436336517334, 0.8299999982118607
4, 0.1, 4.208323836326599, 0.560546875, 2.406627893447876, 0.8700000047683716
5, 0.1, 3.9387593865394592, 0.369140625, 3.3513758182525635, 0.8299999982118607
6, 0.1, 3.640790104866028, 0.283203125, 4.075253009796143, 0.8100000023841858
7, 0.1, 3.2992053627967834, 0.1953125, 4.352702617645264, 0.7699999958276749
8, 0.1, 2.9152587056159973, 0.091796875, 5.246479034423828, 0.8100000023841858
9, 0.1, 2.80495423078537, 0.083984375, 5.99117374420166, 0.7900000065565109
10, 0.1, 2.6673739552497864, 0.05859375, 6.626636981964111, 0.7999999970197678
1, 0.1, 3.8286145329475403, 0.5078125, 5.730730056762695, 0.880000002682209
2, 0.1, 3.28424733877182, 0.232421875, 5.227683067321777, 0.8700000047683716
3, 0.1, 2.929192543029785, 0.138671875, 4.523798942565918, 0.8599999994039536
4, 0.1, 2.7952206134796143, 0.08203125, 6.101932525634766, 0.8499999940395355
5, 0.1, 2.67730712890625, 0.08203125, 6.436323642730713, 0.8700000047683716
6, 0.1, 2.5862651467323303, 0.06640625, 7.835148334503174, 0.8700000047683716
7, 0.1, 2.510180115699768, 0.03515625, 7.661612033843994, 0.8299999982118607
8, 0.1, 2.4819485545158386, 0.029296875, 8.014723777770996, 0.8299999982118607
9, 0.1, 2.4755802750587463, 0.029296875, 8.743511199951172, 0.8299999982118607
10, 0.1, 2.464723765850067, 0.044921875, 9.298271179199219, 0.8299999982118607
